rank,game,config,rtp,house_edge,std_per_unit,variance_per_unit,survival_prob
1,video_poker,9/6 Jacks or Better,0.9954390436951225,0.004560956304877517,4.417541898735777,19.514676427086098,0.9550597965984327
2,blackjack,"basic strategy (S17, DAS, resplit to 4, 3:2)",0.9948826636316106,0.005117336368389364,1.1537516285167475,1.331142820305047,0.9999999999999807
3,plinko,"high, 11 rows",0.9916015625,0.0083984375,4.125829435246634,17.022468528747556,0.9667294474294772
4,plinko,"medium, 9 rows",0.99140625,0.00859375,1.280809518414404,1.6404730224609374,0.9999999999918678
5,plinko,"high, 12 rows",0.991162109375,0.008837890625,4.380744556379863,19.190922868251803,0.9548827152343692
6,plinko,"high, 13 rows",0.990869140625,0.009130859375,4.846888562447261,23.492328736782078,0.9298072614310482
7,keno,"low, 9 picks",0.9906886394502493,0.009311360549750642,1.1559585018281355,1.3362400579487477,0.9999999999999598
8,plinko,"high, 8 rows",0.990625,0.009375,2.6704820930639097,7.131474609375,0.9989490708034917
9,plinko,"high, 9 rows",0.990625,0.009375,2.9435161133200882,8.664287109374998,0.9970556628752779
10,plinko,"high, 10 rows",0.990625,0.009375,3.6442632035673546,13.280654296874998,0.983767117768525
11,keno,"classic, 2 picks",0.9903846153846154,0.009615384615384616,1.255336242940606,1.5758690828402364,0.999999999996523
12,keno,"classic, 10 picks",0.9903735207309311,0.009626479269068903,1.3591430492057466,1.8472698282042945,0.999999999868918
13,plinko,"high, 15 rows",0.990264892578125,0.009735107421875,6.005098324495876,36.06120588686318,0.8561268373042268
14,plinko,"medium, 11 rows",0.990234375,0.009765625,1.115717933694874,1.244826507568359,0.9999999999999949
15,keno,"classic, 8 picks",0.9902282806307574,0.00977171936924259,2.0641545872256977,4.2607341599648905,0.9999768639190448
16,keno,"classic, 3 picks",0.9901821862348178,0.009817813765182187,1.4445117295642365,2.0866141368486617,0.9999999984933794
17,keno,"low, 6 picks",0.9900837071889703,0.009916292811029653,6.880046378480057,47.33503817003655,0.7981902323307906
18,keno,"high, 10 picks",0.9900832270439281,0.009916772956071868,3.600370442998999,12.962667326820808,0.9848948308749075
19,keno,"low, 8 picks",0.9900417965433446,0.00995820345665547,1.814278475943914,3.291606388273371,0.999998504078891
20,plinko,"low, 11 rows",0.9900390625,0.0099609375,0.4415420404379645,0.1949593734741211,1.0
21,plinko,"low, 10 rows",0.9900390625,0.0099609375,0.5271147868103504,0.2778499984741212,1.0
22,plinko,"low, 15 rows",0.990008544921875,0.009991455078125,0.4100479320367429,0.1681393065676093,1.0
23,plinko,"low, 14 rows",0.99000244140625,0.00999755859375,0.3189665318360839,0.10173964843153954,1.0
24,mines,"1 mines, 1 picks",0.99,0.01,0.2020829037796122,0.0408375,1.0
25,mines,"1 mines, 2 picks",0.99,0.01,0.2919350731866963,0.08522608695652173,1.0
26,mines,"2 mines, 1 picks",0.99,0.01,0.2919350731866963,0.08522608695652173,1.0
27,mines,"1 mines, 3 picks",0.99,0.01,0.36558172820861823,0.13365000000000002,1.0
28,mines,"3 mines, 1 picks",0.99,0.01,0.36558172820861823,0.13365000000000002,1.0
29,mines,"2 mines, 2 picks",0.99,0.01,0.426701198783737,0.18207391304347825,1.0
30,mines,"1 mines, 4 picks",0.99,0.01,0.4320714226672649,0.18668571428571426,1.0
31,mines,"4 mines, 1 picks",0.99,0.01,0.4320714226672649,0.18668571428571426,1.0
32,mines,"1 mines, 5 picks",0.99,0.01,0.495,0.245025,1.0
33,mines,"5 mines, 1 picks",0.99,0.01,0.495,0.245025,1.0
34,wheel,"10 segments, low",0.99,0.01,0.5028916384272063,0.2529,1.0
35,wheel,"20 segments, low",0.99,0.01,0.5028916384272063,0.2529,1.0
36,wheel,"30 segments, low",0.99,0.01,0.5028916384272063,0.2529,1.0
37,wheel,"40 segments, low",0.99,0.01,0.5028916384272063,0.2529,1.0
38,wheel,"50 segments, low",0.99,0.01,0.5028916384272063,0.2529,1.0
39,mines,"2 mines, 3 picks",0.99,0.01,0.5410703677500209,0.2927571428571429,1.0
40,mines,"3 mines, 2 picks",0.99,0.01,0.5410703677500209,0.2927571428571429,1.0
41,mines,"1 mines, 6 picks",0.99,0.01,0.5563319720795262,0.3095052631578947,1.0
42,mines,"6 mines, 1 picks",0.99,0.01,0.5563319720795262,0.3095052631578947,1.0
43,mines,"1 mines, 7 picks",0.99,0.01,0.6173734688177003,0.38114999999999993,1.0
44,mines,"7 mines, 1 picks",0.99,0.01,0.6173734688177003,0.38114999999999993,1.0
45,mines,"2 mines, 4 picks",0.99,0.01,0.6481071340008974,0.42004285714285716,1.0
46,mines,"4 mines, 2 picks",0.99,0.01,0.6481071340008974,0.42004285714285716,1.0
47,mines,"1 mines, 8 picks",0.99,0.01,0.679134397164335,0.4612235294117647,1.0
48,mines,"8 mines, 1 picks",0.99,0.01,0.679134397164335,0.4612235294117647,1.0
49,mines,"3 mines, 3 picks",0.99,0.01,0.6954751715810668,0.4836857142857142,1.0
50,mines,"1 mines, 9 picks",0.99,0.01,0.7425,0.5513062500000001,1.0
51,mines,"9 mines, 1 picks",0.99,0.01,0.7425,0.5513062500000001,1.0
52,mines,"2 mines, 5 picks",0.99,0.01,0.7532770511501553,0.5674263157894737,1.0
53,mines,"5 mines, 2 picks",0.99,0.01,0.7532770511501553,0.5674263157894737,1.0
54,mines,"1 mines, 10 picks",0.99,0.01,0.8083316151184488,0.6534,1.0
55,mines,"10 mines, 1 picks",0.99,0.01,0.8083316151184488,0.6534,1.0
56,mines,"3 mines, 4 picks",0.99,0.01,0.8454642360479183,0.7148097744360902,1.0
57,mines,"4 mines, 3 picks",0.99,0.01,0.8454642360479183,0.7148097744360902,1.0
58,mines,"2 mines, 6 picks",0.99,0.01,0.8598684109853822,0.7393736842105262,1.0
59,mines,"6 mines, 2 picks",0.99,0.01,0.8598684109853822,0.7393736842105262,1.0
60,mines,"1 mines, 11 picks",0.99,0.01,0.8775412078236391,0.7700785714285713,1.0
